Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
JK Paper Ltd.,JKPAPER,Forest Materials,EQ,298,309.75,297.05,295.7,303.25,7.55,2.55,2270069,691690024.3,387.4,191.25,39.55,-12.06
JM Financial Ltd.,JMFINANCIL,Financial Services,EQ,61.5,61.5,59.5,60.95,59.65,-1.3,-2.13,368055,22193716.5,117.7,57.1,-31.13,-7.02
Jindal Stainless Ltd.,JSL,Metals & Mining,EQ,100,100.6,97.35,99.8,99.8,-,-,492895,48845894.5,224.4,95.05,-8.98,-10.89
JSW Energy Ltd.,JSWENERGY,Power,EQ,204.3,207.75,199,207.95,205.3,-2.65,-1.27,662114,134740199,408,161.4,23.96,-24.83
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,EQ,556.55,580.5,556.55,564.5,577.5,13,2.3,3737790,2128073359,790,520.05,-17.46,2.4
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services,EQ,512.25,545,508.5,512.25,541.15,28.9,5.64,5437843,2894998856,918,451.2,-83.37,-7.02
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,EQ,485.5,490.85,473.05,485.85,476,-9.85,-2.03,163007,78083613.14,838.75,401.2,-7.18,-4
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,EQ,348.8,349,281.8,343.7,340,-3.7,-1.08,71858,23945959.92,767,281.8,-53.06,-10.55
Justdial Ltd.,JUSTDIAL,Consumer Services,EQ,560,569.1,551.05,565.25,558,-7.25,-1.28,194406,108597135.7,1138,520,-41.18,-14.55
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,EQ,148.35,152.5,147.5,149.65,150,2.85,1.94,771549,115686057.1,187.3,130.15,-3.33,0.44
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables,EQ,947.7,965,937.2,947.7,952,4.3,0.45,72125,68652902.5,1374.9,885.3,-3.29,-8.24
Kalpataru Power Transmission Ltd.,KALPATPOWR,Construction,EQ,354,358.75,353.15,356.7,354.85,-1.85,-0.52,17142,6076667.58,496,331.8,-16.23,-1.07
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables,EQ,58.5,61.8,58.05,59.9,61.3,1.4,2.34,501257,30220784.53,83.6,55.05,-23.45,-0.42
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Durables,EQ,372.35,375,368.3,370.5,370.05,-0.45,-0.12,269671,99896925.24,675,358.15,-35.59,-7.42
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,EQ,44.95,44.95,43.7,44.95,44.25,-0.7,-1.56,1017461,45022649.25,60.7,38.4,-13.06,-
Kec International Ltd.,KEC,Capital Goods,EQ,393.15,393.15,384.1,391.25,386.1,-5.15,-1.32,149531,57938776.57,550,345.5,-13.59,-1.22
KEI Industries Ltd.,KEI,Capital Goods,EQ,1152.55,1208,1152.5,1152.55,1200,47.45,4.12,340326,406628311.3,1377.35,687.5,66.21,-6.77
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,EQ,1182,1233.45,1167,1184.55,1210,25.45,2.15,44951,54397452.65,1565,937.55,25.08,-9.68
KNR Constructions Ltd.,KNRCON,Construction,EQ,230.5,236.15,228.75,233.05,235.7,2.65,1.14,58500,13689585,343.9,207.5,-2.31,-10.37
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,EQ,1645,1679.5,1636,1661.1,1678,16.9,1.02,2300514,3822234996,2253,1626,-2.62,-10.06
KPIT Technologies Ltd.,KPITTECH,Information Technology,EQ,512,514.95,495.4,517.65,500.9,-16.75,-3.24,940281,471738977.7,801,245.2,99.33,-2.39
K.P.R. Mill Ltd.,KPRMILL,Textiles,EQ,516,516.4,506.5,515.65,508.5,-7.15,-1.39,121702,62085058.28,769,304,-66.13,-17.94
KRBL Ltd.,KRBL,Fast Moving Consumer Goods,EQ,217,218.8,215.3,217.85,216.7,-1.15,-0.53,62909,13657543.9,337.95,184.5,-7.49,-0.86
L&T Finance Holdings Ltd.,L&TFH,Financial Services,EQ,67,68.95,66.3,67.6,68.8,1.7,2.53,3855009,260752808.8,95.95,58.5,-27.23,-10.82
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,EQ,2167.95,2248,2148.45,2160.4,2235.1,74.7,3.46,210696,464932328.4,4245.5,1805.55,-33.98,3.63
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,EQ,332,336.8,330.3,333.95,335.15,1.2,0.36,212311,70890642.9,754.9,305.25,-,-16.67
Laurus Labs Ltd.,LAURUSLABS,Healthcare,EQ,464,467.1,459.5,464.7,466.8,2.1,0.45,443092,205311109.1,723.75,436.8,-32.52,-18.11
Lakshmi Machine Works Ltd.,LAXMIMACH,Capital Goods,EQ,9050,9068,8876,8981.85,9068,86.15,0.96,1507,13561553.28,11790,6499.95,37.88,-3.93
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,EQ,326.9,339.25,319.9,327.35,337,9.65,2.95,2366258,784012263.1,476.55,291.75,-30.35,-13.4
Linde India Ltd.,LINDEINDIA,Chemicals,EQ,3150,3248,3111,3198.15,3224,25.85,0.81,40600,129405192,4190,1564.1,94.42,6.85
Macrotech Developers Ltd.,LODHA,Realty,EQ,1060.05,1070.95,1045,1069,1068.7,-0.3,-0.03,39067,41512984.87,1539,645,56.37,10.41
Larsen & Toubro Ltd.,LT,Construction,EQ,1560.95,1576,1534.6,1558.25,1571.8,13.55,0.87,1294305,2016255386,2078.55,1456.35,3.85,-5.82
Larsen & Toubro Infotech Ltd.,LTI,Information Technology,EQ,3945,4015.95,3905.25,3975.45,4000.65,25.2,0.63,268702,1067066695,7588.8,3733.3,-2.35,-6.54
L&T Technology Services Ltd.,LTTS,Information Technology,EQ,2995,3027.2,2937,3030.8,2984,-46.8,-1.54,364261,1087584996,5955.5,2801,4.4,-13.46
Lupin Ltd.,LUPIN,Healthcare,EQ,613.1,630.55,608.7,610.95,627.3,16.35,2.68,908035,561083906.9,1191.55,583,-46.83,-1.24
Lux Industries Ltd.,LUXIND,Textiles,EQ,1754.45,1765,1729.05,1754.45,1740,-14.45,-0.82,15428,26888535.52,4644,1684.85,-50.96,-12.56
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals,EQ,283,287.35,280.6,284.65,287,2.35,0.83,338168,96235849.44,628,219.6,29.18,-22.65
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components,EQ,1092.4,1113.35,1064,1093.15,1107,13.85,1.27,2839545,3101862167,1121.45,671.15,40.56,5.68
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services,EQ,176.05,179.7,171.05,175.4,177.2,1.8,1.03,2173337,380899042.6,206.35,128,11.65,-1.63
Bank of Maharashtra,MAHABANK,Financial Services,EQ,15.6,15.7,15.5,15.55,15.65,0.1,0.64,892261,13910348.99,26.3,15,-38.78,-11.9
Mahindra CIE Automotive Ltd.,MAHINDCIE,Automobile and Auto Components,EQ,233,233.1,226.1,233.1,229.95,-3.15,-1.35,276850,63426335,312,163.95,-1.89,19.63
Mahindra Logistics Ltd.,MAHLOG,Services,EQ,474,474,455,471.65,461,-10.65,-2.26,17972,8287068.92,821,391.1,-14.55,2.67
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,EQ,84.9,89.6,83.65,85,88.25,3.25,3.82,13581092,1194185420,224.5,81.5,-49.63,-11.04
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,EQ,1399.9,1421.25,1373.2,1411.9,1407,-4.9,-0.35,83012,116391955.3,1917.4,1128.8,-,6.27
Marico Ltd.,MARICO,Fast Moving Consumer Goods,EQ,478,493,477.6,477.9,492,14.1,2.95,846365,411604226.8,607.7,455.65,-9.97,-10.45
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components,EQ,8440,8450,8305.6,8470.75,8399.95,-70.8,-0.84,530569,4440634385,9050,6536.55,12.7,6.33
Mastek Ltd.,MASTEK,Information Technology,EQ,2130,2133.05,2081.3,2145,2093,-52,-2.42,27911,58699624.1,3669,1850.7,-5.34,-19.45
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,EQ,364.6,367.05,357,366.95,360.05,-6.9,-1.88,326670,118052004.6,458.05,250.6,44.18,-3.52
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods,EQ,246.7,249.95,241.55,246.25,249.1,2.85,1.16,68727,16861482.18,342.4,221.1,1.34,-11.02
United Spirits Ltd.,MCDOWELL-N,Fast Moving Consumer Goods,EQ,760.5,791.5,754.05,759.75,787.1,27.35,3.6,2124003,1649755610,1019.95,629.1,14.83,-6.13
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,EQ,1305.95,1324.45,1275.5,1307.95,1282.95,-25,-1.91,433916,564494341.9,2135,1143,-14.04,-4.64
Medplus Health Services Ltd.,MEDPLUS,Consumer Services,EQ,770,770,750,767.3,750.1,-17.2,-2.24,10669,8052107.68,1343,708,-,-11.22
Metro Brands Ltd.,METROBRAND,Consumer Durables,EQ,600,631.25,600,598.75,617.5,18.75,3.13,582857,359389626.2,673,426,-,0.39
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,EQ,1400,1439.95,1397.05,1406.45,1435.1,28.65,2.04,100318,142381337.4,3579.9,1378.05,-50.4,-12.98
Max Financial Services Ltd.,MFSL,Financial Services,EQ,782.35,808.4,772.15,782.35,802.2,19.85,2.54,320516,254855092.2,1148.05,696.5,-26.22,-1.55
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,EQ,760.55,771,757.05,760.6,770.7,10.1,1.33,170132,130261565.8,1212,665.8,-33.08,0.56
Mahindra Holidays & Resorts India Ltd.,MHRIL,Consumer Services,EQ,213.5,231,211.1,214.4,227,12.6,5.88,1395618,315423624.2,274.9,165.43,-14.26,-3.01
Minda Industries Ltd.,MINDAIND,Automobile and Auto Components,EQ,925,947,900,923.15,943.7,20.55,2.23,178456,167143674.2,1257.4,629.15,44.15,0.09
MindTree Ltd.,MINDTREE,Information Technology,EQ,2874,2905.9,2810,2887.05,2890.75,3.7,0.13,582730,1666776792,5060,2457.55,11.02,-5.27
MMTC Ltd.,MMTC,Services,EQ,39.4,40.35,38.9,39.2,39.35,0.15,0.38,1476769,58435749.33,64.7,31,-30.74,-4.51
MOIL Ltd.,MOIL,Metals & Mining,EQ,141.6,142.9,140.7,140.1,141.85,1.75,1.25,95406,13533341.1,201.9,137.3,-27.13,-13.01
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,EQ,754.1,766,745,766.5,753.3,-10.2,-1.34,27524,20773739,1188,714,-2.22,-3.33
MphasiS Ltd.,MPHASIS,Information Technology,EQ,2279.2,2299.45,2220.1,2294.05,2239.9,-54.15,-2.36,332856,746179938,3659.75,2076.05,7.49,-11.55
MRF Ltd.,MRF,Automobile and Auto Components,EQ,70300,72500,70300,70800.9,71900,"1,099.10",1.55,5409,386007226.9,87550,63000,-11.59,-8.82
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels,EQ,88.05,91.25,81.55,90.6,81.55,-9.05,-9.99,26739501,2226330853,127.65,37.05,76.61,11.65
MTAR Technologies Ltd.,MTARTECH,Capital Goods,EQ,1279,1279,1238.95,1271.25,1241,-30.25,-2.38,104163,130305829.7,2563.3,1010.95,12.78,-10.9
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,EQ,980,1048.3,977.1,976.3,1039.8,63.5,6.5,1982052,2016083833,1721.95,960.4,-34.11,-14.59
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,EQ,270.6,273.9,269.05,271.25,272,0.75,0.28,205261,55794045.02,476.45,259,-25.93,-4.49
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,EQ,652,653,642.7,649.8,647,-2.8,-0.43,48437,31447237.88,1189,607.75,-42.46,-5.96
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,EQ,68,68.9,67,68.8,68.65,-0.15,-0.22,16360489,1116276164,132.7,67,-12.19,-28.48
Info Edge (India) Ltd.,NAUKRI,Consumer Services,EQ,3771.9,3774,3606,3758.8,3720.65,-38.15,-1.01,413841,1521109841,7465.4,3313,-23.54,-9.74
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,EQ,3665,3696.85,3557.95,3651.6,3675,23.4,0.64,112850,410425293.5,4329,3202.5,-2.6,-6.95
Nazara Technologies Ltd.,NAZARA,Media Entertainment & Publication,EQ,670,676.9,638.3,671.4,649.9,-21.5,-3.2,302182,197974537.3,1678,475.05,-55.68,-44.79
NBCC (India) Ltd.,NBCC,Construction,EQ,28.5,28.8,28.1,28.4,28.8,0.4,1.41,1801802,51189194.82,55.5,26.55,-47.36,-15.35
NCC Ltd.,NCC,Construction,EQ,54.05,55.95,53.1,54.1,55.2,1.1,2.03,2281956,124389421.6,98.5,52.2,-37.71,-16.19
NESCO Ltd.,NESCO,Services,EQ,550,555.5,545.6,550.85,553.6,2.75,0.5,12047,6631150.68,696.8,501.95,-9.09,1.71
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,EQ,17400,17829.4,17331.05,17470,17800,330,1.89,38547,681238432.7,20609.15,16000,-0.92,-1.25
Network18 Media & Investments Ltd.,NETWORK18,Media Entertainment & Publication,EQ,68.2,68.75,66.5,69,67.45,-1.55,-2.25,1455769,98468215.16,117.5,46,37.86,-8.61
Narayana Hrudayalaya Ltd.,NH,Healthcare,EQ,634.1,644.35,631.5,632.55,640,7.45,1.18,50400,32060448,777,468.3,28.5,-3.38
NHPC Ltd.,NHPC,Power,EQ,30.65,31.35,30.6,30.75,30.95,0.2,0.65,6808415,211197033.3,37.6,25.3,17.37,-8.62
The New India Assurance Company Ltd.,NIACL,Financial Services,EQ,79.8,80.6,78.15,79.8,78.9,-0.9,-1.13,289192,22805681.12,178.4,78.15,-52.95,-21.26
NLC India Ltd.,NLCINDIA,Power,EQ,63.6,64.25,61.6,63.65,62.75,-0.9,-1.41,2402689,150240143.2,92.4,49.8,4.26,-15.64
NMDC Ltd.,NMDC,Metals & Mining,EQ,107.15,110,106.35,108.2,109.85,1.65,1.52,5571985,602833057.2,186.9,101.55,-41.23,-14.2
NOCIL Ltd.,NOCIL,Chemicals,EQ,253.75,254.5,244.35,253.2,247.7,-5.5,-2.17,373166,92500388.08,321.3,190.7,16.92,3.54
NTPC Ltd.,NTPC,Power,EQ,142,143.2,139.75,142.9,141.1,-1.8,-1.26,9592229,1355381958,166.35,111.95,22.77,-8.4
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,EQ,299,307.4,292.5,296.85,305,8.15,2.75,150042,44912071.86,577.9,260.25,-,-1.54
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services,EQ,1399.8,1420,1381.4,1406.95,1405.05,-1.9,-0.14,143804,201378807.5,2573.7,1207.5,-,-5.86
Oberoi Realty Ltd.,OBEROIRLTY,Realty,EQ,734.35,751,731.35,737.65,740.25,2.6,0.35,563385,418724633.6,1051.9,605.5,17.14,-8.45
Oracle Financial Services Software Ltd.,OFSS,Information Technology,EQ,3090.25,3123.9,3044.25,3098.3,3064.05,-34.25,-1.11,61691,188830598.8,5145,2950,-15.15,-5.94
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels,EQ,245.5,249.45,210.05,251.5,214.2,-37.3,-14.83,16490601,3699501428,306,153.1,59.99,5.47
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,EQ,148.95,151.15,130,151.55,131.4,-20.15,-13.3,125788305,17143688088,194.95,108.5,28.76,0.2
Orient Electric Ltd.,ORIENTELEC,Consumer Durables,EQ,272.3,274.95,265.1,272.05,274.3,2.25,0.83,43089,11637477.12,408,244,-13.24,-2.79
Page Industries Ltd.,PAGEIND,Textiles,EQ,40199,41599.9,40124.95,40166.5,41236.6,"1,070.10",2.66,13064,535251806.6,46737.7,29119.95,36.06,-11.12
One 97 Communications Ltd.,PAYTM,Financial Services,EQ,672.9,675.7,652,675.7,657.7,-18,-2.66,3069693,2027839196,1955,510.05,-,3.48
PCBL Ltd.,PCBL,Chemicals,EQ,104,106.4,103.05,104.75,104,-0.75,-0.72,547189,57274272.63,138.65,89,-,-0.76
Piramal Enterprises Ltd.,PEL,Financial Services,EQ,1661.5,1682.9,1626.3,1655.7,1672,16.3,0.98,536946,887040161.5,3014.95,1560.1,-30.96,-12.63
Persistent Systems Ltd.,PERSISTENT,Information Technology,EQ,3385,3422.25,3270.05,3401.8,3329,-72.8,-2.14,234003,777882132.7,4987.5,2725.05,15.75,-9.52
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels,EQ,215.3,222.4,214.8,217.3,220.6,3.3,1.52,2021428,439842518.5,243.55,190.25,-3.76,-4.23
Power Finance Corporation Ltd.,PFC,Financial Services,EQ,104.3,106.1,103.2,104.45,105.9,1.45,1.39,2843672,298670870.2,153.75,97.1,-18.91,-6.2
Pfizer Ltd.,PFIZER,Healthcare,EQ,4105,4117.95,4077.5,4080.35,4103,22.65,0.56,4025,16489096.75,6175,4060,-28.05,-5.39
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Fast Moving Consumer Goods,EQ,13330,13450,13224.6,13369.15,13450,80.85,0.6,23356,311314226,16448.7,12310.1,0.47,-3.25
Procter & Gamble Health Ltd.,PGHL,Healthcare,EQ,4192,4194.25,4102.1,4190.85,4111,-79.85,-1.91,3956,16433184.44,5851.75,3901.05,-24.49,-1.82
Phoenix Mills Ltd.,PHOENIXLTD,Realty,EQ,1183.7,1214,1162.8,1183.7,1173.05,-10.65,-0.9,172501,205640167.1,1244.95,793.4,45.21,1.44
Pidilite Industries Ltd.,PIDILITIND,Chemicals,EQ,2099.95,2164.35,2082.8,2089.9,2158,68.1,3.26,501109,1067727980,2764.7,1988.55,-2.97,-6.93
PI Industries Ltd.,PIIND,Chemicals,EQ,2559.5,2590.25,2511.95,2559.5,2576.1,16.6,0.65,79059,202265336.2,3534.9,2333.55,-12.06,-7.21
Punjab National Bank,PNB,Financial Services,EQ,29.05,29.6,28.75,29,29.55,0.55,1.9,17767070,518087761.2,48.2,28.05,-31.44,-7.5
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,EQ,329.55,329.55,324.65,330.3,327.55,-2.75,-0.83,59692,19533610.08,784.4,311.45,-,1.55
PNC Infratech Ltd.,PNCINFRA,Construction,EQ,243,243,236.05,242.15,237.65,-4.5,-1.86,90779,21687103.1,395.9,219,-16.05,-1.16
PB Fintech Ltd.,POLICYBZR,Financial Services,EQ,571.95,603,571.4,572.95,585.05,12.1,2.11,543062,322052057.9,1470,540.1,-,-13.67
Polycab India Ltd.,POLYCAB,Capital Goods,EQ,2202.5,2216.8,2156.25,2201.2,2180,-21.2,-0.96,409500,894397140,2820,1762,11.45,-9.85
Poly Medicure Ltd.,POLYMED,Healthcare,EQ,750.9,769.15,729.4,750.85,738.95,-11.9,-1.58,23654,17687988.12,1094.25,651.1,-26.14,0.14
Polyplex Corporation Ltd.,POLYPLEX,Capital Goods,EQ,2204,2248.65,2167.95,2202.3,2236,33.7,1.53,146621,324750852.9,2870.2,1325.45,58.75,-6.98
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,EQ,227.5,232,224.1,227.7,230.45,2.75,1.21,2033688,465165456.2,343.8,140.75,-,-12.24
Power Grid Corporation of India Ltd.,POWERGRID,Power,EQ,211.05,212.9,205.2,211.9,206.55,-5.35,-2.52,8350248,1735766052,248.35,167.15,-8.82,-9.02
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,EQ,3168.3,3175,3092,3151.7,3100,-51.7,-1.64,17764,55873997.4,4042.6,1741,66.73,-10.72
Praj Industries Ltd.,PRAJIND,Capital Goods,EQ,364.9,364.9,357.4,363.9,358.5,-5.4,-1.48,207864,74752051.68,448,289.05,-,6.17
Prestige Estates Projects Ltd.,PRESTIGE,Realty,EQ,385,391.75,381.1,387.15,387.4,0.25,0.06,209983,81070236.64,554.9,284,33.71,-9.79
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Capital Goods,EQ,593.15,603,590.15,598.15,594.5,-3.65,-0.61,51385,30605933.7,897,549.3,-16.74,-4.99
Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals,EQ,1075.75,1076,1040,1087.3,1072,-15.3,-1.41,16783,17740470.15,2249,1015.3,-2,-6.87
Prism Johnson Ltd.,PRSMJOHNSN,Construction Materials,EQ,107.95,108.45,106.1,107.95,107.5,-0.45,-0.42,24056,2587222.8,160,96.65,-17.34,-
PVR Ltd.,PVR,Media Entertainment & Publication,EQ,1860.85,1895,1828.9,1860.85,1888,27.15,1.46,358082,664456959.2,2003.8,1224.05,39.43,1.13
Quess Corp Ltd.,QUESS,Services,EQ,613.5,613.5,592.1,613.65,598.5,-15.15,-2.47,76594,46016143.32,989.9,527.4,-24.98,-12.84
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,EQ,872,898.9,860.25,872.5,871.85,-0.65,-0.07,257073,226039147.4,1294,723.2,14.94,8.47
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,EQ,91.15,91.65,90.7,91.1,91.05,-0.05,-0.05,162424,14801699.12,150.4,84,-35.57,-6.28
Rain Industries Ltd,RAIN,Chemicals,EQ,145.5,149.55,144.1,146.5,148.75,2.25,1.54,946679,139067145.1,272.75,128.6,-24.74,-12.85
