Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Rajesh Exports Ltd.,RAJESHEXPO,Consumer Durables,EQ,622,630.85,615,625.4,621,-4.4,-0.7,128888,79999492.72,994.7,518.5,10.77,15.46
Rallis India Ltd.,RALLIS,Chemicals,EQ,189,189.6,186.35,188.65,188.8,0.15,0.08,219820,41279997.8,341.85,182.5,-41.94,-5.77
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,EQ,634,648.95,613.75,636.8,646,9.2,1.44,327788,209502422.3,1132.7,575.65,-37.92,-8.87
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Capital Goods,EQ,1634.05,1659.7,1553.55,1654.4,1580,-74.4,-4.5,107552,170150490.6,1913.7,1237.07,-19.33,-37.18
Restaurant Brands Asia Ltd.,RBA,Consumer Services,EQ,112,113.05,108.85,111,109.7,-1.3,-1.17,978252,108732709.8,189.7,86.5,-,14.2
RBL Bank Ltd.,RBLBANK,Financial Services,EQ,82.95,86.7,82.1,83.45,85.95,2.5,3,16258460,1376278639,226.4,74.15,-60.36,-25.69
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Chemicals,EQ,77.95,78.7,76.1,78.15,78.7,0.55,0.7,1110880,86082091.2,112.65,66,-6.52,-18.34
REC Ltd.,RECLTD,Financial Services,EQ,122.8,126,120.1,123.75,125.75,2,1.62,19076925,2358671007,168.85,109.65,-16.69,3.86
Redington (India) Ltd.,REDINGTON,Services,EQ,125,128,122.6,125.55,127.4,1.85,1.47,1081859,135340560.9,179.2,109.4,-53.05,-3.42
Relaxo Footwears Ltd.,RELAXO,Consumer Durables,EQ,961,979,960.1,963.85,970.45,6.6,0.68,41820,40657822.2,1448,925,-16.33,-2.75
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels,EQ,2574.9,2592,2365,2595.65,2406,-189.65,-7.31,37841671,92119871799,2856.15,2016.25,22.98,-1.41
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods,EQ,46.5,46.5,45.1,46.4,45.6,-0.8,-1.72,8262303,377752493.2,63.2,21.5,17.92,-1.07
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,EQ,502.5,513.95,497.65,501.5,501.95,0.45,0.09,165626,83506972.94,674,317.3,-,-6.55
RITES Ltd.,RITES,Construction,EQ,234,235.15,232.25,234.85,234.95,0.1,0.04,29804,6981288.96,317.9,226.2,-14.96,-4.78
Rossari Biotech Ltd.,ROSSARI,Chemicals,EQ,880.8,882,850.4,873.05,874.8,1.75,0.2,20002,17471947.02,1619,795.1,-26.84,0.05
Route Mobile Ltd.,ROUTE,Telecommunication,EQ,1242,1290,1241.05,1242.85,1267,24.15,1.94,655866,830962546,2389,1052,-27.88,-10.73
RattanIndia Enterprises Ltd.,RTNINDIA,Services,EQ,43,43.2,41.2,42.4,41.75,-0.65,-1.53,622861,26029361.19,71,30.5,-,-13.91
Rail Vikas Nigam Ltd.,RVNL,Construction,EQ,30.1,30.25,29.8,30,30,-,-,763473,22896555.27,44.8,27.5,-10.98,-7.41
Steel Authority of India Ltd.,SAIL,Metals & Mining,EQ,68.2,70.2,67.85,68.55,69.9,1.35,1.97,20563587,1415391693,145.9,63.6,-47.51,-9.74
Sanofi India Ltd.,SANOFI,Healthcare,EQ,6415,6435.05,6333,6437.4,6376.85,-60.55,-0.94,11452,72904577.2,9285,6333,-16.1,-5.92
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services,EQ,1084,1104,1070.45,1085,1086,1,0.09,145969,157913643.3,1540,909,-,2.09
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,EQ,362.9,368.95,353.65,361.95,359.95,-2,-0.55,120158,43447931.22,550.59,295.3,-,-16.26
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,EQ,767.8,777.55,763.75,768.25,771.85,3.6,0.47,1073345,829083878.4,1165,655.7,-20.83,-1.51
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,EQ,1085.45,1105.35,1075,1081.6,1100.25,18.65,1.72,696341,760118872.2,1293.25,996.05,7.29,-7.88
State Bank of India,SBIN,Financial Services,EQ,463.35,468.8,460.55,465.9,468.5,2.6,0.56,9405495,4374119505,549,401.25,11.14,-0.47
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components,EQ,2289,2289,2250,2290.5,2260,-30.5,-1.33,46062,104262718.9,9700,1598,-59.35,-0.44
Shipping Corporation of India Ltd.,SCI,Services,EQ,97.25,98,95.75,97.65,96.85,-0.8,-0.82,367655,35618416.4,160.2,85.6,-11.79,-17.42
Sequent Scientific Ltd.,SEQUENT,Healthcare,EQ,93.55,93.55,91.2,92.85,93,0.15,0.16,625299,57690085.74,328.7,82,-70.32,-15.78
Sheela Foam Ltd.,SFL,Consumer Durables,EQ,2649,2679,2612,2660.45,2651,-9.45,-0.36,3071,8128230.67,4055,2185.6,19.27,-11.46
Shilpa Medicare Ltd.,SHILPAMED,Healthcare,EQ,389.35,398,381,389.35,397.75,8.4,2.16,69762,27260896.74,670.4,380,-27.78,-10.37
Shree Cement Ltd.,SHREECEM,Construction Materials,EQ,19050,19272,18898.85,19009.7,19233.05,223.35,1.17,17699,338754081.3,31469.95,17865.2,-30.89,-14.05
Shriram City Union Finance Ltd.,SHRIRAMCIT,Financial Services,EQ,1660.55,1707.05,1657.25,1660.55,1705.9,45.35,2.73,35205,59115883.95,2602,1416.05,-3.06,-3.26
Shyam Metalics and Energy Ltd.,SHYAMMETL,Metals & Mining,EQ,282,282.45,275.7,280.45,277,-3.45,-1.23,62789,17444667.87,461.15,273.1,-24.12,-10.36
Siemens Ltd.,SIEMENS,Capital Goods,EQ,2381,2425,2366.3,2400.45,2410,9.55,0.4,208443,502199635.5,2576.85,1920,18.77,-1.38
SIS Ltd.,SIS,Services,EQ,456,456,449.8,453.9,452,-1.9,-0.42,29489,13327553.55,560,420,5.56,-3.31
SJVN Ltd.,SJVN,Power,EQ,26.8,27.55,26.7,26.9,27.4,0.5,1.86,834442,22588344.94,33.75,25.35,-3.58,-2.36
SKF India Ltd.,SKFINDIA,Capital Goods,EQ,3620,3786.65,3578.05,3637.8,3720,82.2,2.26,68901,249967315.9,4239.95,2502.3,35.72,1.1
Sobha Ltd.,SOBHA,Realty,EQ,569,577.9,551.3,577.05,555,-22.05,-3.82,338751,191191064.4,1044.95,462,22.5,4.99
Solara Active Pharma Sciences Ltd.,SOLARA,Healthcare,EQ,350,354.55,341,352.3,346,-6.3,-1.79,56960,19701324.8,1827,320,-79.09,-15.14
Solar Industries India Ltd.,SOLARINDS,Chemicals,EQ,2725.2,2769.95,2702.2,2745.3,2715,-30.3,-1.1,53477,145652096.3,3189.95,1550,73.21,4.78
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components,EQ,551.1,570,547,553.8,569,15.2,2.74,352045,197391631.5,839.9,333.25,61.79,-0.65
Sonata Software Ltd.,SONATSOFTW,Information Technology,EQ,669.45,671.95,655,669.45,655,-14.45,-2.16,57392,38285055.36,1024.9,610.1,-10.36,-2.29
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare,EQ,209.1,209.7,202.35,209.1,204,-5.1,-2.44,145955,29906179.5,349,170.45,-8.99,-5.94
Spicejet Ltd.,SPICEJET,Services,EQ,37.9,39.5,37.7,38.15,39.05,0.9,2.36,2091895,81416553.4,87.3,37.15,-52.9,-19.6
SRF Ltd.,SRF,Chemicals,EQ,2230,2239.75,2133.05,2252.2,2161.4,-90.8,-4.03,809031,1754035840,2773.35,1418.8,-69.04,-8.6
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,Financial Services,EQ,1266.2,1274.8,1238.5,1281.35,1264,-17.35,-1.35,1071657,1348476720,1696.4,1002,-4.57,8.94
Strides Pharma Science Ltd.,STAR,Healthcare,EQ,325.05,340,325.05,330.7,337,6.3,1.91,632891,210695742.8,818,263.35,-56.45,-0.54
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,EQ,490,490,469.05,488.7,475.9,-12.8,-2.62,1600279,758932315.8,940,469.05,-,-28.43
Sterlite Technologies Ltd.,STLTECH,Telecommunication,EQ,148.5,150.1,145.05,148.45,147.5,-0.95,-0.64,374778,55276007.22,318,135.5,-43.85,-14.71
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals,EQ,419.25,423.8,416.8,419.25,420,0.75,0.18,25363,10650684.59,794,402,-38.37,-8.27
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,EQ,424.15,425.95,420.95,424.15,422.75,-1.4,-0.33,84550,35780714.5,492,344.25,9.81,-8.49
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,EQ,1735.25,1799,1735.25,1761.65,1798.5,36.85,2.09,6156,10914464.88,2729,1555,-34.14,8.31
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile and Auto Components,EQ,724,752,718.45,724.9,747,22.1,3.05,46481,34167253.48,993.7,673.05,-10.36,-7.08
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,EQ,829.9,836.95,825,830.6,830.8,0.2,0.02,2316527,1921188502,967.05,664.2,22.97,-3.49
Sunteck Realty Ltd.,SUNTECK,Realty,EQ,498.3,514,491.55,496.55,511,14.45,2.91,1770328,895184056.5,589.9,292.05,68.87,9.73
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,EQ,413.8,425.7,411.85,412.55,423.5,10.95,2.65,2838077,1191935578,612,402.55,-22.12,-7.4
Suprajit Engineering Ltd.,SUPRAJIT,Automobile and Auto Components,EQ,330.05,339.75,326,332.45,337.25,4.8,1.44,108993,36269600.61,474.9,272.05,17.81,-1.79
Supreme Industries Ltd.,SUPREMEIND,Capital Goods,EQ,1760.05,1780,1752.45,1766.85,1761,-5.85,-0.33,10943,19356306.69,2693.9,1666.25,-18.37,-3.82
Suven Pharmaceuticals Ltd.,SUVENPHAR,Healthcare,EQ,460,465,457.7,462.3,460.1,-2.2,-0.48,46758,21604066.32,631.75,425.7,-3.68,-7.53
Suzlon Energy Ltd.,SUZLON,Capital Goods,EQ,6.75,6.95,6.7,6.85,6.8,-0.05,-0.73,36152847,244754774.2,13.1,5.7,-14.38,-19.88
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Construction,EQ,294.8,300,290.1,296.6,298.5,1.9,0.64,97483,28705819.01,509.1,248.1,9.02,-9.71
Symphony Ltd.,SYMPHONY,Consumer Durables,EQ,876.95,879.5,855.05,876.7,865.5,-11.2,-1.28,180991,156613322.2,1215,828,-14.78,-12.71
Syngene International Ltd.,SYNGENE,Healthcare,EQ,550,564.1,544.8,554.75,563,8.25,1.49,135870,75301871.4,700,510.05,-4.89,-3.1
Tanla Platforms Ltd.,TANLA,Information Technology,EQ,998,1004,980.3,1004.65,1002,-2.65,-0.26,160015,159008505.7,2096.75,780,-,-24.38
Tata Chemicals Ltd.,TATACHEM,Chemicals,EQ,791,804.9,773.35,793.35,800,6.65,0.84,770388,605756084.4,1158,719.3,9.61,-16.36
Tata Coffee Ltd.,TATACOFFEE,Fast Moving Consumer Goods,EQ,193.9,199,192.25,193.9,198.25,4.35,2.24,568731,111198285.1,254.4,178.6,3.33,-6.58
Tata Communications Ltd.,TATACOMM,Telecommunication,EQ,917.45,937.4,908.9,914.25,931,16.75,1.83,283046,261489216.6,1591.95,856.25,-28.97,-7.19
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,EQ,700,722.95,697,706.35,721.5,15.15,2.14,954981,679086989.1,889,650.2,-6.37,-7.03
Tata Elxsi Ltd.,TATAELXSI,Information Technology,EQ,8170.55,8239,8022,8170.55,8155.15,-15.4,-0.19,270194,2196669114,9420,4033.1,89.82,-2.51
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,EQ,1343.5,1343.5,1331,1342.15,1340,-2.15,-0.16,8592,11485270.08,1733.9,1118,18.73,-12.22
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components,EQ,410.65,414.6,402.3,411.8,413.7,1.9,0.46,14725989,5997895320,536.7,268.45,21.26,-7.16
Tata Motors Ltd DVR,TATAMTRDVR,Automobile and Auto Components,EQ,197.7,198.65,192,197.8,198.25,0.45,0.23,1610634,314927266,298.65,129.15,27.45,-7.16
Tata Power Co. Ltd.,TATAPOWER,Power,EQ,202.7,207.65,200.6,202.2,207.2,5,2.47,15807993,3224356332,298.05,118.4,65.6,-14.01
Tata Steel Ltd.,TATASTEEL,Metals & Mining,EQ,866.95,875,859.1,867.05,871.2,4.15,0.48,5476189,4746979673,1534.5,827,-25.68,-17.87
Tata Steel Long Products Ltd.,TATASTLLP,Capital Goods,EQ,575,582.95,564.7,575.6,581,5.4,0.94,10870,6187856.2,1173,534,-,-12.96
TCI Express Ltd.,TCIEXP,Services,EQ,1580,1624.85,1580,1594.4,1590.25,-4.15,-0.26,31026,49884223.32,2572,1280,10.8,-1.5
TCNS Clothing Co. Ltd.,TCNSBRANDS,Textiles,EQ,537,543.7,526.9,530.8,537,6.2,1.17,20185,10831069.15,932,494.1,-8.98,-10.98
Tata Consultancy Services Ltd.,TCS,Information Technology,EQ,3260,3333,3252.05,3267.1,3331,63.9,1.96,1502879,4930344847,4043,3023.85,-2.35,-2.89
Teamlease Services Ltd.,TEAMLEASE,Services,EQ,3252,3358,3203.6,3236.15,3300,63.85,1.97,17375,57512466.25,5550,2910,-10.54,-1.99
Tech Mahindra Ltd.,TECHM,Information Technology,EQ,997,1014,989.3,1000,1011.25,11.25,1.13,1842102,1848880935,1838,943.7,-8.71,-15.27
Thermax Ltd.,THERMAX,Capital Goods,EQ,2060,2079.95,2022.35,2097.15,2036.25,-60.9,-2.9,30977,63452667.26,2347,1286.95,41.28,5.16
Thyrocare Technologies Ltd.,THYROCARE,Healthcare,EQ,622.9,627,613.2,621.05,617.8,-3.25,-0.52,33220,20545573.4,1374.9,613.2,-52.69,-5.85
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components,EQ,1803.7,1835,1751,1841.3,1758,-83.3,-4.52,88311,157356955.4,2025,1081.05,57.56,17.25
Timken India Ltd.,TIMKEN,Capital Goods,EQ,2385,2484.75,2385,2377.3,2476,98.7,4.15,102059,249572016.8,2730,1450,61.79,4.26
Titan Company Ltd.,TITAN,Consumer Durables,EQ,1895,1954.35,1825.05,1941.25,1944.75,3.5,0.18,4064801,7729950766,2768,1662.5,12.05,-12.4
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,EQ,2850,2925,2838.05,2860.25,2920,59.75,2.09,157824,457984730.9,3298.5,2484.15,-1.43,0.98
Torrent Power Ltd.,TORNTPOWER,Power,EQ,451,460.6,449.4,451.65,460.6,8.95,1.98,220456,100386844.2,606.55,415.25,-1.84,-0.96
Trent Ltd.,TRENT,Consumer Services,EQ,1074.15,1088.1,1059.1,1074.15,1078,3.85,0.36,555368,595593304.2,1346.85,838,26.39,-4.44
Trident Ltd.,TRIDENT,Textiles,EQ,38.65,38.8,37.65,38.7,38.2,-0.5,-1.29,2633568,100365276.5,70.35,16.3,136.7,-18.87
Triveni Turbine Ltd.,TRITURBINE,Capital Goods,EQ,154.15,157.65,154.05,156.35,156.6,0.25,0.16,126459,19678284.99,231.7,107.1,26.8,-8.19
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods,EQ,237,237,225.7,236.45,229.7,-6.75,-2.85,543017,124758155.8,374.5,159.45,22.77,-19.19
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables,EQ,828,833.4,816.95,830.75,830,-0.75,-0.09,17948,14811048.56,1264.65,744.7,-91.14,-0.14
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,EQ,121.4,122.7,118.5,121.1,119.4,-1.7,-1.4,2252618,269660900.8,290.15,32.75,-,-3.43
TV18 Broadcast Ltd.,TV18BRDCST,Media Entertainment & Publication,EQ,39.1,39.45,38.4,38.95,39.1,0.15,0.39,4948800,192508320,82.6,33.2,-9.21,-3.35
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components,EQ,837.5,886.3,827.3,841.95,836.05,-5.9,-0.7,3263584,2765887440,886.3,495,35.69,14.31
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,EQ,1453.8,1509,1440,1452.8,1501.95,49.15,3.38,174055,256786822.6,1785.8,1274.5,0.45,-5.81
UCO Bank,UCOBANK,Financial Services,EQ,11,11.2,10.75,10.95,11.05,0.1,0.91,1157345,12707648.1,15.9,10.55,-27.96,-5.6
UFLEX Ltd.,UFLEX,Capital Goods,EQ,580.6,583,568.05,580.6,579,-1.6,-0.28,59052,34016314.08,719,427,2.08,-5.34
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,EQ,5600,5699.75,5485,5607.3,5690,82.7,1.47,329610,1855160444,8269,5157.05,-17.25,-7.81
Union Bank of India,UNIONBANK,Financial Services,EQ,34.4,34.65,34,34.25,34.55,0.3,0.88,2376699,81520775.7,54.8,32.7,-11.15,-9.51
UPL Ltd.,UPL,Chemicals,EQ,630,646,621.95,632.4,642.85,10.45,1.65,3575548,2276015079,852.4,607.5,-20.24,-18.88
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,EQ,643,643,628.05,645.9,640,-5.9,-0.91,46115,29270573.95,1216.2,595,-24.34,-5.71
Vaibhav Global Ltd.,VAIBHAVGBL,Consumer Services,EQ,301,306.95,287.9,299.9,303,3.1,1.03,131705,39561547.9,860,287.9,-62.43,-10.68
Vakrangee Ltd.,VAKRANGEE,Information Technology,EQ,26.75,27.5,26.15,26.75,26.7,-0.05,-0.19,2363491,62963400.24,47.2,23.55,-35.93,-6.47
Varroc Engineering Ltd.,VARROC,Automobile and Auto Components,EQ,300.5,307.45,295.1,299.7,305.1,5.4,1.8,134195,40414166.2,493.85,260,-18.37,-12.87
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,EQ,790,809,786.2,790.55,790,-0.55,-0.07,951574,759584429.8,809,472.67,8.35,-25.17
Vedanta Ltd.,VEDL,Metals & Mining,EQ,221.1,223.6,206,223,213.7,-9.3,-4.17,26130465,5596884298,440.75,206,-15.16,-30.51
Venky's (India) Ltd.,VENKEYS,Fast Moving Consumer Goods,EQ,1897.15,1910,1875.75,1896.6,1901,4.4,0.23,8251,15614192.4,3746,1772.95,-47.1,-6.86
V-Guard Industries Ltd.,VGUARD,Consumer Durables,EQ,224.2,226.75,217.1,225.2,218.5,-6.7,-2.98,212688,47031697.44,274.8,181,-15.07,-3.88
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,EQ,333.2,361,331.55,333.2,351.25,18.05,5.42,203583,71673430.98,672,295,-,-8.26
Vinati Organics Ltd.,VINATIORGA,Chemicals,EQ,1977,2024.9,1936.7,1982.9,1983,0.1,0.01,40500,80528580,2290,1674.2,8.36,-3.2
V.I.P. Industries Ltd.,VIPIND,Consumer Durables,EQ,626.5,631.8,606.4,626.5,618.9,-7.6,-1.21,125113,77473722.99,774.6,374,56.41,8.04
V-Mart Retail Ltd.,VMART,Consumer Services,EQ,2497.65,2500,2425,2485.2,2471,-14.2,-0.57,28139,69418913,4848.8,2406.85,-11.25,-24.14
Voltas Ltd.,VOLTAS,Consumer Durables,EQ,949.8,969.65,938.1,972.4,959,-13.4,-1.38,1129398,1079952956,1356.9,922.55,-4.9,-4.48
Vardhman Textiles Ltd.,VTL,Textiles,EQ,265.45,273.25,262.1,265.05,272.95,7.9,2.98,431463,115235138,2880,245.5,-80.62,-7.58
Welspun Corp Ltd.,WELCORP,Capital Goods,EQ,217,221.55,213.1,218.85,214.65,-4.2,-1.92,880477,190852194.5,250.65,105.85,52.94,-3.29
Welspun India Ltd.,WELSPUNIND,Textiles,EQ,69.6,70.4,68.15,69.45,69.9,0.45,0.65,1174496,81275123.2,170.7,62.2,-27.96,6.27
Westlife Development Ltd.,WESTLIFE,Consumer Services,EQ,498,508,490.05,497.3,491,-6.3,-1.27,50304,25038816,629,402.3,-0.46,9.25
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables,EQ,1552,1579.8,1538.5,1560.85,1560,-0.85,-0.05,62441,97504743.55,2550,1365.1,-30.18,-4.9
Wipro Ltd.,WIPRO,Information Technology,EQ,415,423.2,411.4,416.05,422.05,6,1.44,4453624,1855023468,739.85,402.05,-23.75,-12.97
Wockhardt Ltd.,WOCKPHARMA,Healthcare,EQ,206.95,208.8,205.15,208.55,207,-1.55,-0.74,375081,77671773.48,592,205.15,-59.74,-19.34
Yes Bank Ltd.,YESBANK,Financial Services,EQ,12.65,12.75,12.55,12.65,12.7,0.05,0.4,18633694,235902566,16.25,10.5,-6.64,-3.8
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,EQ,213,215.85,210.6,214.1,215.5,1.4,0.65,4131369,880807870.8,378.7,166.8,-0.3,-15.33
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,EQ,273.15,273.55,268.4,272.1,270,-2.1,-0.77,186578,50467483.22,587,246.65,-12.61,-11.02
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components,EQ,7748,7900,7525.3,7716.6,7680,-36.6,-0.47,12790,98846236,8780.05,6793.3,-,1.43
Zomato Ltd.,ZOMATO,Consumer Services,EQ,54.15,56.7,52.55,53.85,56,2.15,3.99,112078641,6193465702,169,50.05,-,-27.86
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,EQ,356.9,364.05,354.3,357,364,7,1.96,862373,310014469.8,651.9,319,-,-5.64
Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,EQ,1635,1635,1605,1636.85,1627,-9.85,-0.6,10803,17495674.56,2476.85,1430,-22.08,6.25
